Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
ASUS,Vivobook S 16 OLED M5606KA-OLED063W,30490,16,2880x1800,24,1000.0,1,AMD Ryzen AI 7-350
Lenovo,Lenovo ThinkPad E14 Gen 6,20390,14,1920x1200,16,512.0,1,AMD Ryzen 5-7535HS
Microsoft,Surface Pro|Snapdragon® X Elite,46490,13,2880x1920,16,1000.0,1,Snapdragon X Elite X1E-80-100
HP,HP Spectre x360 16-aa0901nc Nightfall,52990,16,2880x1800,32,2000.0,1,Intel Ultra 7-155H
Acer,Acer Nitro V 15,34990,15.6,1920x1080,32,1000.0,1,Intel i9-13900H
ASUS,ASUS ExpertBook B3 Flip B3402FVA-LE0118W,19399,14,1920x1080,16,512.0,1,Intel i5-1335U
Lenovo,Yoga Pro 9 14IRP8,47358,14.5,3072x1920,32,1000.0,1,Intel i9-13905H
Acer,Aspire 15 Steel,14990,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-8840HS
Acer,Acer Swift Go 14 Steel,17990,14,2880x1800,16,512.0,1,AMD Ryzen 5-8645HS
MacBook,Air CZ 2025,42990,15.3,2880x1864,16,512.0,1,Apple M4
Lenovo,IdeaPad 5 2-in-1 16AHP9 Lenovo,24989,16,2048x1280,16,1000.0,1,AMD Ryzen 5-8645HS
MacBook,Pro PRO SK 2024,59990,14.2,3024x1964,24,512.0,1,Apple M4
Lenovo,IdeaPad Pro 5 14IMH9,33499,14,2880x1800,32,1000.0,1,Intel Ultra 9-185H
ASUS,TUF Gaming A15 FA506NFR-HN076W,19989,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
MacBook,Pro CZ 2023,42990,14.2,3024x1964,8,1000.0,1,Apple M3
HP,HP 15-fd0965nc Warm Gold,13990,15.6,1920x1080,16,512.0,1,Intel i5-1334U
MSI,MSI Sword 17 HX B14VFKG-217XCZ,38990,17,2560x1600,32,1000.0,1,Intel i7-14650HX
Lenovo,IdeaPad Slim 5 16IMH9,27989,16,2048x1280,32,1000.0,1,Intel Ultra 7-155H
VICTUS,VICTUS by HP 16-r1956nc Performance,41990,16.1,2560x1440,32,1000.0,1,Intel i7-14700HX
Lenovo,Lenovo Legion 7 16IRX9 Glacier,59989,16,3200x2000,32,1000.0,1,Intel i9-14900HX
Lenovo,IdeaPad 1 14ALC7,9989,14,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
ASUS,Zenbook S 14 OLED UX5406SA-OLED093X,48490,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
MSI,MSI Modern 15 B12M-074XCZ,14290,15.6,1920x1080,16,512.0,1,Intel i5-1235U
MacBook,Pro CZ 2024,55990,14.2,3024x1964,16,1000.0,1,Apple M4
MSI,MSI Modern 15 F13MG-058XCZ,13990,15.6,1920x1080,16,1000.0,1,Intel i5-1335U
MSI,MSI Katana 15 B13VGK-1867CZ,35990,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Lenovo,Lenovo Legion Slim 5 16AHP9,36989,16,2560x1600,16,1000.0,1,AMD Ryzen 7-8845HS
ASUS,Vivobook 15 X1504VA-NJ1716W,13463,15.6,1920x1080,16,512.0,1,Intel i5-1334U
VICTUS,VICTUS by HP 16-r1955nc Mica,34790,16.1,2560x1440,32,1000.0,1,Intel i5-14450HX
Lenovo,Lenovo LOQ 15AHP9,33499,15.6,2560x1440,16,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,IdeaPad Slim 3 16IAH8,16989,16,1920x1200,16,512.0,1,Intel i5-12450H
Lenovo,Yoga Pro 9 16IMH9,67989,16,3200x2000,64,1000.0,1,Intel Ultra 9-185H
Lenovo,Lenovo V15 G4 IRU Business,16790,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
Umax,VisionBook 14WRX Turquoise,4590,14.1,1920x1080,4,128.0,1,Intel Celeron N4020
MSI,MSI Katana 17 B13VFK-249CZ,33990,17.3,1920x1080,16,1000.0,1,Intel i7-13620H
Lenovo,Lenovo V15 G4 AMN Business,10990,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7520U
HP,HP 255 G10 Turbo,10990,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-7530U
MSI,MSI Cyborg 15 A13UC-1409CZ,20990,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
MacBook,Air CZ 2024,38990,13.6,2560x1664,24,512.0,1,Apple M3
Lenovo,IdeaPad Slim 5 16IAH8,14989,16,1920x1200,16,512.0,1,Intel i5-12450H
ASUS,Zenbook S 14 OLED UX5406SA-OLED227X,48490,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
Acer,Aspire 5 15 Steel,13990,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
HP,ProBook 465 G11,19290,16,1920x1200,16,512.0,1,AMD Ryzen 5-7535U
Microsoft,Surface Pro,34990,13,2880x1920,16,512.0,1,Snapdragon X Plus X1P-64-100
Lenovo,IdeaPad Duet 3 11IAN8 Lenovo,13990,11.5,2000x1200,8,128.0,1,Intel Processor N200
Lenovo,Lenovo LOQ 15IAX9,25869,15.6,1920x1080,24,512.0,1,Intel i5-12450HX
